network_id,strategy,database,initial_conditions,num_nodes\nnetwork_001,complete,omnipath,random,11\nnetwork_002,complete,omnipath,random,12\nnetwork_003,complete,omnipath,random,13\nnetwork_004,complete,omnipath,random,14\nnetwork_005,complete,omnipath,random,15\nnetwork_001,complete_connection,omnipath,growth_focused,52,359,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,37,219,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,52,382,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,38,226,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,51,389,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,,bfs,False,2,False
network_001,complete_connection,omnipath,growth_focused,57,436,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,40,243,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,55,502,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,42,317,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,,bfs,False,3,True
network_001,complete_connection,omnipath,growth_focused,50,454,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,41,295,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,65,529,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,76,624,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_001,complete_connection,omnipath,growth_focused,58,476,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,48,387,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,73,594,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,81,676,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_001,complete_connection,omnipath,growth_focused,60,551,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_001,complete_connection,omnipath,growth_focused,54,445,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,41,301,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,70,533,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,80,672,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_005,complete_connection,omnipath,cell_cycle_focused,193,3159,0,0.0,sensitivity_analysis_results/bnet_files/network_005_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_005_trajectories.png,sensitivity_analysis_results/plots/network_005_network.pdf,dfs,False,2,True
network_001,complete_connection,omnipath,growth_focused,63,454,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,42,258,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,81,611,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,85,693,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
